distrito_id,seccion_id,seccion_nombre
2,17,Cañuelas
2,18,Capitán Sarmiento
2,19,Carlos Casares
2,2,Alberti
2,20,Carlos Tejedor
2,21,Carmen De Areco
2,22,Patagones
2,23,Castelli
2,24,Colón
2,25,Coronel Dorrego
2,26,Coronel Pringles
2,27,Coronel Rosales
2,28,Coronel Suárez
2,29,Chacabuco
2,3,Almirante Brown
2,30,Chascomús
2,31,Chivilcoy
2,32,Daireaux
2,33,Dolores
2,34,Ensenada
2,35,Escobar
2,36,Esteban Echeverría
2,37,Exaltación De La Cruz
2,38,Florencio Varela
2,39,General Alvarado
2,4,Avellaneda
2,40,General Alvear
2,41,General Arenales
2,42,General Belgrano
2,43,General Guido
2,44,General La Madrid
2,45,Las Heras
2,46,General Lavalle
2,47,General Madariaga
2,48,General Paz
2,49,General Pinto
2,5,Ayacucho
2,50,General Pueyrredón
2,51,General Rodríguez
2,52,General San Martín
2,53,San Miguel
2,54,General Viamonte
2,55,General Villegas
2,56,Gonzales Chaves
2,57,Guaminí
2,58,Hipólito Yrigoyen
2,59,Benito Juárez
2,6,Azul
2,60,Junín
2,61,Matanza
2,62,Lanús
2,63,La Plata
2,64,Laprida
2,65,Las Flores
2,66,Leandro N. Alem
2,67,Lincoln
2,68,Lobería
2,69,Lobos
2,7,Bahía Blanca
2,70,Lomas De Zamora
2,71,Luján
2,72,Magdalena
2,73,Maipú
2,74,Mar Chiquita
2,75,Marcos Paz
2,76,Mercedes
2,77,Merlo
2,78,Monte
2,79,Moreno
2,8,Balcarce
2,80,Morón
2,81,Navarro
2,82,Necochea
2,83,Nueve De Julio
2,84,Olavarría
2,85,Pehuajó
2,86,Pellegrini
2,87,Pergamino
2,88,Pila
2,89,Pilar
2,9,Baradero
2,90,Pinamar
2,91,Puán
2,92,Quilmes
2,93,Ramallo
2,94,Rauch
2,95,Rivadavia
2,96,Rojas
2,97,Roque Pérez
2,98,Saavedra
2,99,Saladillo
20,1,Deseado
20,2,Lago Buenos Aires
20,3,Magallanes
20,4,Río Chico
20,5,Corpen Aike
20,6,Lago Argentino
20,7,Güer Aike
21,1,Belgrano
21,10,
21,11,Las Colonias
21,12,Nueve De Julio
21,13,Rosario
21,14,
21,15,
21,16,San Cristóbal
21,17,San Javier
21,18,San Jerónimo
21,19,San Justo
21,2,Caseros
21,20,San Lorenzo
21,21,San Martín
21,22,Vera
21,3,Castellanos
21,4,Constitución
21,5,Garay
21,6,General López
21,7,General Obligado
21,8,Iriondo
21,9,La Capital
22,1,Capital
22,10,Figueroa
22,11,Guasayán
22,12,Jiménez
22,13,Loreto
22,14,Juan F. Ibarra
22,15,Mitre
22,16,Moreno
22,17,Ojo De Agua
22,18,Pellegrini
22,19,Quebrachos
22,2,Avellaneda
22,20,Rivadavia
22,21,Robles
22,22,Río Hondo
22,23,Silipica
22,24,San Martín
22,25,Salavina
22,26,Sarmiento
22,27,Taboada
22,3,Aguirre
22,4,Alberdi
22,5,Atamisqui
22,6,Banda
22,7,Belgrano
22,8,Copo
22,9,Choya
23,1,Capital
23,10,Simoca
23,11,Leales
23,12,Cruz Alta
23,13,Burruyacu
23,14,Trancas
23,15,Yerba Buena
23,16,Tafí Viejo
23,17,Tafí Del Valle
23,2,Lules
23,3,Famaillá
23,4,Monteros
23,5,Chicligasta
23,6,Río Chico
23,7,Alberdi
23,8,La Cocha
23,9,Graneros
24,1,Ushuaia
24,2,Río Grande
24,3,Antártida Argentina
24,5,Tolhuin
3,1,Capital
3,10,Ambato
3,11,Pomán
3,12,Andalgalá
3,13,Belén
3,14,Antofagasta De La Sierra
3,15,Tinogasta
3,16,Santa María
3,2,Capayán
3,3,La Paz
3,4,Ancasti
3,5,El Alto
3,6,Santa Rosa
3,7,Paclin
3,8,Valle Viejo
3,9,Fray Mamerto Esquiú
4,1,Capital
4,10,Minas
4,11,Pocho
4,12,Punilla
4,13,Río Cuarto
4,14,Río Primero
4,15,Río Seco
4,16,Río Segundo
4,17,Roque Sáenz Peña
4,18,San Alberto
4,19,San Javier
4,2,Calamuchita
4,20,San Justo
4,21,Santa María
4,22,Sobremonte
4,23,Tercero Arriba
4,24,Totoral
4,25,Tulumba
4,26,Unión
4,3,Colón
4,4,Cruz Del Eje
4,5,General Roca
4,6,General San Martín
4,7,Ischilín
4,8,Juárez Celman
4,9,Marcos Juárez
5,1,Capital
5,10,San Luis Del Palmar
5,11,Bella Vista
5,12,Empedrado
5,13,San Roque
5,14,General Paz
5,15,Saladas
5,16,San Martín
5,17,Concepción
5,18,Mburucuya
5,19,Ituzaingo
5,2,Goya
5,20,Sauce
5,21,San Cosme
5,22,General Alvear
5,23,San Miguel
5,24,Itati
5,25,Berón De Astrada
5,3,Curuzú Cuatiá
5,4,Mercedes
5,5,Esquina
5,6,Lavalle
5,7,Santo Tomé
5,8,Paso De Los Libres
5,9,Monte Caseros
6,1,San Fernando
6,10,San Lorenzo
6,11,Mayor L. J. Fontana
6,12,O'Higgins
6,13,Comandante Fernández
6,14,Quitilipi
6,15,25 De Mayo
6,16,Maipú
6,17,Independencia
6,18,General Belgrano
6,19,9 De Julio
6,2,Primero De Mayo
6,20,Chacabuco
6,21,12 De Octubre
6,22,2 De Abril
6,23,Fray Justo Sta. María De Oro
6,24,Almirante Brown
6,25,General Güemes
6,3,Libertad
6,4,General Donovan
6,5,Sargento Cabral
6,6,Pcia. De La Plaza
6,7,Bermejo
6,8,Lib. Gral. San Martín
6,9,Tapenaga
7,1,Rawson
7,10,Mártires
7,11,F. Ameghino
7,12,Gaiman
7,13,Río Senguer
7,14,Sarmiento
7,15,Escalante
7,2,Biedma
7,3,Telsen
7,4,Gastre
7,5,Cushamen
7,6,Futaleufú
7,7,Languiñeo
7,8,Tehuelches
7,9,Paso De Indios
8,1,Paraná
8,10,Gualeguaychú
8,11,Islas Del Ibicuy
8,12,Villaguay
8,13,Concordia
8,14,Federal
8,15,Colón
8,16,Feliciano
8,17,Federación
8,18,San Salvador
8,2,
8,3,La Paz
8,4,Diamante
8,5,Victoria
8,6,Nogoyá
8,7,Gualeguay
8,8,Tala
8,9,Uruguay
9,1,Formosa
9,2,Laishi
9,3,Pilcomayo
9,4,Pirané
9,5,Pilagas
9,6,Patiño
9,7,Bermejo
9,8,Matacos
9,9,Ramón Lista
